date,team.top,team.bottom,inning,top_bottom,batter_number,before_score.top,before_score.bottom,after_score.top,after_score.bottom,point,before_out,before_1b,before_2b,before_3b,after_out,after_1b,after_2b,after_3b,batter.id,batter.handed,batter.name,pitcher.id,pitcher.handed,pitcher.name,direction,result
2023-04-14,阪神,DeNA,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1800065,左,近本 光司,1660377,右,ガゼルマン,中,飛
2023-04-14,阪神,DeNA,1,1,2,0,0,0,0,0,1,0,0,0,2,0,0,0,2000056,左,中野 拓夢,1660377,右,ガゼルマン,,見三振
2023-04-14,阪神,DeNA,1,1,3,0,0,0,0,0,2,0,0,0,2,1,0,0,1300042,右,渡邉 諒,1660377,右,ガゼルマン,左,安
2023-04-14,阪神,DeNA,1,1,4,0,0,0,0,0,2,1,0,0,3,0,0,0,1600113,右,大山 悠輔,1660377,右,ガゼルマン,右,飛
2023-04-14,阪神,DeNA,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1600089,左,佐野 恵太,1500090,右,青柳 晃洋,,四球
2023-04-14,阪神,DeNA,1,2,2,0,0,0,0,0,0,1,0,0,1,1,0,0,1700059,左,神里 和毅,1500090,右,青柳 晃洋,中,飛
2023-04-14,阪神,DeNA,1,2,3,0,0,0,0,0,1,1,0,0,3,0,0,0,1200053,右,宮﨑 敏郎,1500090,右,青柳 晃洋,遊,併打
2023-04-14,阪神,DeNA,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1961285,右,ノイジー,1660377,右,ガゼルマン,中,飛
2023-04-14,阪神,DeNA,2,1,2,0,0,0,0,0,1,0,0,0,2,0,0,0,1500091,左,板山 祐太郎,1660377,右,ガゼルマン,左,飛
2023-04-14,阪神,DeNA,2,1,3,0,0,0,0,0,2,0,0,0,2,0,1,0,1300073,右,梅野 隆太郎,1660377,右,ガゼルマン,投,安
2023-04-14,阪神,DeNA,2,1,4,0,0,1,0,1,2,0,1,0,2,1,0,0,1800067,左,木浪 聖也,1660377,右,ガゼルマン,中,安
2023-04-14,阪神,DeNA,2,1,5,1,0,1,0,0,2,1,0,0,2,1,1,0,1500090,右,青柳 晃洋,1660377,右,ガゼルマン,右,安
2023-04-14,阪神,DeNA,2,1,6,1,0,2,0,1,2,1,1,0,2,1,0,1,1800065,左,近本 光司,1660377,右,ガゼルマン,右,安
2023-04-14,阪神,DeNA,2,1,7,2,0,2,0,0,2,1,0,1,2,1,1,1,2000056,左,中野 拓夢,1660377,右,ガゼルマン,,四球
2023-04-14,阪神,DeNA,2,1,8,2,0,2,0,0,2,1,1,1,3,0,0,0,1300042,右,渡邉 諒,1660377,右,ガゼルマン,三,ゴロ
2023-04-14,阪神,DeNA,2,2,1,2,0,2,0,0,0,0,0,0,0,1,0,0,2000035,右,牧 秀悟,1500090,右,青柳 晃洋,左,安
2023-04-14,阪神,DeNA,2,2,2,2,0,2,0,0,0,1,0,0,1,1,0,0,1100061,右,桑原 将志,1500090,右,青柳 晃洋,中,飛
2023-04-14,阪神,DeNA,2,2,3,2,0,2,0,0,1,1,0,0,2,0,1,0,1300038,左,関根 大気,1500090,右,青柳 晃洋,左,安
2023-04-14,阪神,DeNA,2,2,4,2,0,2,0,0,2,0,1,0,3,0,0,0,800075,右,伊藤 光,1500090,右,青柳 晃洋,二,飛
2023-04-14,阪神,DeNA,3,1,1,2,0,2,0,0,0,0,0,0,0,1,0,0,1600113,右,大山 悠輔,1660377,右,ガゼルマン,,四球
2023-04-14,阪神,DeNA,3,1,2,2,0,2,0,0,0,1,0,0,1,1,0,0,1961285,右,ノイジー,1660377,右,ガゼルマン,右,飛
2023-04-14,阪神,DeNA,3,1,3,2,0,2,0,0,1,1,0,0,2,1,0,0,1500091,左,板山 祐太郎,1660377,右,ガゼルマン,三,飛
2023-04-14,阪神,DeNA,3,1,4,2,0,2,0,0,2,1,0,0,3,0,0,0,1300073,右,梅野 隆太郎,1660377,右,ガゼルマン,,見三振
