date,team.top,team.bottom,inning,top_bottom,batter_number,before_score.top,before_score.bottom,after_score.top,after_score.bottom,point,before_out,before_1b,before_2b,before_3b,after_out,after_1b,after_2b,after_3b,batter.id,batter.handed,batter.name,pitcher.id,pitcher.handed,pitcher.name,direction,result,rc
2023-03-30,楽天,日本ハム,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1800117,左,辰己 涼介,1500110,左,加藤 貴之,,見三振,-0.204
2023-03-30,楽天,日本ハム,1,1,2,0,0,0,0,0,1,0,0,0,2,0,0,0,1900112,左,小深田 大翔,1500110,左,加藤 貴之,左,飛,-0.153
2023-03-30,楽天,日本ハム,1,1,3,0,0,0,0,0,2,0,0,0,2,1,0,0,1460250,右,フランコ,1500110,左,加藤 貴之,右,安,0.117
2023-03-30,楽天,日本ハム,1,1,4,0,0,0,0,0,2,1,0,0,3,0,0,0,900056,右,浅村 栄斗,1500110,左,加藤 貴之,左,飛,-0.21
2023-03-30,楽天,日本ハム,1,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1100095,右,松本 剛,700069,右,田中 将大,,空三振,-0.204
2023-03-30,楽天,日本ハム,1,2,2,0,0,0,0,0,1,0,0,0,2,0,0,0,1251037,左,上川畑 大悟,700069,右,田中 将大,二,ゴロ,-0.153
2023-03-30,楽天,日本ハム,1,2,3,0,0,0,0,0,2,0,0,0,3,0,0,0,1600134,左,石井 一成,700069,右,田中 将大,中,飛,-0.093
2023-03-30,楽天,日本ハム,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1100132,左,島内 宏明,1500110,左,加藤 貴之,二,ゴロ,-0.204
2023-03-30,楽天,日本ハム,2,1,2,0,0,0,0,0,1,0,0,0,1,0,1,0,1500078,右,阿部 寿樹,1500110,左,加藤 貴之,左,２,0.428
2023-03-30,楽天,日本ハム,2,1,3,0,0,0,0,0,1,0,1,0,2,0,1,0,1700034,左,山﨑 剛,1500110,左,加藤 貴之,中,飛,-0.357
2023-03-30,楽天,日本ハム,2,1,4,0,0,0,0,0,2,0,1,0,3,0,0,0,1800044,右,伊藤 裕季也,1500110,左,加藤 貴之,,空三振,-0.317
2023-03-30,楽天,日本ハム,2,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1800091,右,野村 佑希,700069,右,田中 将大,,空三振,-0.204
2023-03-30,楽天,日本ハム,2,2,2,0,0,0,0,0,1,0,0,0,2,0,0,0,1700025,左,清宮 幸太郎,700069,右,田中 将大,一,ゴロ,-0.153
