id,team_code,number,name,ruby,height,weight,handed bat,handed pitch,pro year,birthday,age,birthplace,blood type
1800117,E,8,辰己 涼介,タツミ リョウスケ,180,74,右,左,5,1996-12-27,26,兵庫,A
1900112,E,0,小深田 大翔,コブカタ ヒロト,168,69,右,左,4,1995-09-28,27,兵庫,O
1460250,E,23,フランコ,,185,105,右,右,1,1992-08-26,30,ドミニカ共和国,
900056,E,3,浅村 栄斗,アサムラ ヒデト,182,90,右,右,15,1990-11-12,32,大阪,O
1100095,F,7,松本 剛,マツモト ゴウ,180,81,右,右,12,1993-08-11,29,埼玉,AB
1251037,F,4,上川畑 大悟,カミカワバタ ダイゴ,167,71,右,左,2,1997-01-12,26,岡山,A
1600134,F,38,石井 一成,イシイ カズナリ,182,80,右,左,7,1994-05-06,28,栃木,O
1100132,E,35,島内 宏明,シマウチ ヒロアキ,180,75,左,左,12,1990-02-02,33,石川,B
1500078,E,4,阿部 寿樹,アベ トシキ,185,85,右,右,8,1989-12-03,33,岩手,B
1700034,E,34,山﨑 剛,ヤマサキ ツヨシ,173,74,右,左,6,1995-12-29,27,福岡,AB
1800044,E,39,伊藤 裕季也,イトウ ユキヤ,182,90,右,右,5,1996-08-30,26,三重,O
1800091,F,5,野村 佑希,ノムラ ユウキ,187,93,右,右,5,2000-06-26,22,アメリカ,O
1700025,F,21,清宮 幸太郎,キヨミヤ コウタロウ,184,94,右,左,6,1999-05-25,23,東京,O
1800008,F,2,マルティネス,,190,95,右,右,6,1996-05-28,26,キューバ,
2103740,E,55,安田 悠馬,ヤスダ ユウマ,185,105,右,左,2,2000-03-03,23,兵庫,B
1800093,F,66,万波 中正,マンナミ チュウセイ,192,96,右,右,5,2000-04-07,23,東京,A
1500049,F,30,宇佐見 真吾,ウサミ シンゴ,181,88,右,左,8,1993-06-04,29,千葉,O
2000080,F,50,五十幡 亮汰,イソバタ リョウタ,171,65,右,左,3,1998-11-27,24,埼玉,B
1800072,C,51,小園 海斗,コゾノ カイト,178,85,右,左,5,2000-06-07,22,兵庫,AB
1400173,C,37,野間 峻祥,ノマ タカヨシ,180,85,右,左,9,1993-01-28,30,兵庫,B
1000150,C,9,秋山 翔吾,アキヤマ ショウゴ,184,86,右,左,11,1988-04-16,34,神奈川,A
1800036,S,51,濱田 太貴,ハマダ タイキ,177,81,右,右,5,2000-09-04,22,福岡,A
400021,S,23,青木 宣親,アオキ ノリチカ,175,80,右,左,14,1982-01-05,41,宮崎,A
1000132,S,1,山田 哲人,ヤマダ テツト,180,76,右,右,13,1992-07-16,30,兵庫,O
1700084,S,55,村上 宗隆,ムラカミ ムネタカ,188,97,右,左,6,2000-02-02,23,熊本,O
2000133,S,13,オスナ,,188,106,右,右,3,1992-12-12,30,ベネズエラ,
1961166,C,10,マクブルーム,,190,99,左,右,2,1992-04-09,31,アメリカ,
1500096,C,5,西川 龍馬,ニシカワ リョウマ,176,83,右,左,8,1994-12-10,28,大阪,O
