id,team,number,name,ruby,height,weight,handed bat,handed pitch,pro year,birthday,age,birthplace,blood type
1500110,北海道日本ハムファイターズ,14,加藤 貴之,カトウ タカユキ,182,90,左,左,8,1992-06-03,30,千葉,AB
700069,東北楽天ゴールデンイーグルス,18,田中 将大,タナカ マサヒロ,188,97,右,右,10,1988-11-01,34,兵庫,A
1800124,東北楽天ゴールデンイーグルス,56,鈴木 翔天,スズキ ソラ,185,82,左,左,5,1996-08-19,26,神奈川,A
1600012,東北楽天ゴールデンイーグルス,43,宋 家豪,ソン チャーホウ,185,92,右,左,8,1992-09-06,30,台湾,
1750903,北海道日本ハムファイターズ,57,北山 亘基,キタヤマ コウキ,182,80,右,右,2,1999-04-10,23,京都,A
1600101,東北楽天ゴールデンイーグルス,62,西口 直人,ニシグチ ナオト,183,83,右,右,7,1996-11-14,26,大阪,B
1600164,北海道日本ハムファイターズ,26,田中 正義,タナカ セイギ,188,93,右,右,7,1994-07-19,28,神奈川,
1300084,東北楽天ゴールデンイーグルス,1,松井 裕樹,マツイ ユウキ,174,74,左,左,10,1995-10-30,27,神奈川,A
1200076,東京ヤクルトスワローズ,29,小川 泰弘,オガワ ヤスヒロ,171,80,右,右,11,1990-05-16,32,愛知,A
1300057,広島東洋カープ,14,大瀬良 大地,オオセラ ダイチ,187,92,右,右,10,1991-06-17,31,長崎,AB
1851151,広島東洋カープ,46,河野 佳,カワノ ケイ,175,82,右,右,1,2001-08-23,21,兵庫,O
1400102,広島東洋カープ,49,戸根 千明,トネ チアキ,174,100,左,左,9,1992-10-17,30,京都,A
1800033,東京ヤクルトスワローズ,17,清水 昇,シミズ ノボル,180,84,右,左,5,1996-10-15,26,東京,A
1700070,広島東洋カープ,29,ケムナ 誠,ケムナ マコト,190,97,右,右,6,1995-06-05,27,アメリカ,B
1600075,東京ヤクルトスワローズ,24,星 知弥,ホシ トモヤ,183,78,右,右,7,1994-04-15,28,栃木,O
1500090,阪神タイガース,17,青柳 晃洋,アオヤギ コウヨウ,183,82,右,右,8,1993-12-11,29,神奈川,B
1400110,横浜DeNAベイスターズ,14,石田 健大,イシダ ケンタ,180,85,左,左,9,1993-03-01,30,広島,O
1600096,横浜DeNAベイスターズ,68,森原 康平,モリハラ コウヘイ,185,88,右,左,7,1991-12-26,31,広島,AB
1300075,阪神タイガース,13,岩崎 優,イワザキ スグル,185,89,左,左,10,1991-06-19,31,静岡,B
1800043,横浜DeNAベイスターズ,27,上茶谷 大河,カミチャタニ タイガ,182,83,右,右,5,1996-08-31,26,京都,B
